state_name,actual,normal,deviation,rain_risk
Andaman And Nicobar Islands,,7.91397397573413,,0.0
Andhra Pradesh,2.567076616554972,2.348394584139265,33.04615733188327,0.716921454928835
Arunachal Pradesh,6.525426553160659,8.262591876208898,-18.568493746601415,0.630117729748726
Assam,5.3249266437239635,6.255014946368911,-15.577226753670473,0.6292391495343524
Bihar,3.0219380547002355,3.3333602954105856,18.814565336249316,0.5412054120541205
Chandigarh,2.772378192356457,2.942377351855108,69.33951108584422,0.3837638376383764
Chhattisgarh,3.478014852381815,3.539120801828732,51.198814573137575,0.6527850992795642
Delhi,1.6261474370585038,2.161438368208194,26.47270771069934,0.3277104199613425
Goa,9.837601883716719,8.385932829259716,56.22221128948731,0.5849587067299244
Gujarat,2.204377830103242,1.9398821874450503,103.3576365568544,0.4182041820418204
Haryana,1.4489820684658576,1.5213961666959732,42.59855691056911,0.47443331576172904
Himachal Pradesh,3.102642637203405,3.632305257605064,0.6037139749864061,0.5800386575294324
Jammu And Kashmir,2.8183227676145624,3.3052646386495517,-0.7490973355084279,0.6643823581092954
Jharkhand,3.17731208114472,3.612414278178301,64.54843904222263,0.5607098928132138
Karnataka,3.0898098170621267,3.3224740636539476,34.396282399855,0.7209629239149534
Kerala,6.580440137656222,8.501243186214172,5.960850099691861,0.6877525918116324
Ladakh,1.1806266980619453,,,0.0
Lakshadweep,,,,0.0
Madhya Pradesh,2.908253939503713,2.997001934235977,24.60068696755483,0.606747496046389
Maharashtra,3.1553830827748595,3.1185247054686127,6.485008156606852,0.6510279388508171
Manipur,3.827009599710197,3.7629206963249517,20.16563823805061,0.6178176067474961
Meghalaya,9.686786813982975,22.07199753824512,2.693363844393592,0.3426462836056932
Mizoram,5.5413349030972645,5.974854932301741,21.048366784730423,0.5884730275874187
Nagaland,4.597297591016121,5.214053103569545,33.63749953660797,0.6598137409945528
Odisha,3.914825212823764,4.000662915421136,24.98602689930934,0.6027060270602707
Puducherry,3.679858721246151,3.6402848602074904,145.16752201515462,0.6742224565102793
Punjab,1.7608621626516934,1.762721997538245,82.63509814612868,0.5236338077666491
Rajasthan,1.452253214997283,1.2561157024793388,85.604040348964,0.6230890880337375
Sikkim,8.151487049447564,8.494162124142782,-6.587486368593239,0.7376559479880513
Tamil Nadu,2.716893678681398,2.480480042201512,14.195524741707452,0.7568089966613952
Telangana,2.8227241441767794,2.5636152628802535,54.53431297709923,0.6225619399051133
The Dadra And Nagar Haveli And Daman And Diu,6.019078065567832,1.7172674520836997,359.96686923076925,0.5083465120365489
Tripura,5.919078065567832,6.496824336205381,-0.9160074557315937,0.5693199789140748
Uttar Pradesh,2.2108675964499187,2.666099876912256,21.848970454957406,0.503953610964681
Uttarakhand,3.996804926643724,4.290608405134517,7.284170744970091,0.5884730275874187
West Bengal,4.566748777395399,4.752591876208898,95.02367778385273,0.6580565805658056
